id_commune;code_region;population_municipale;population_comptee_a_part
03172;84;122;2
03173;84;1142;33
03174;84;914;25
03175;84;278;12
03176;84;541;10
03177;84;253;3
03178;84;298;6
03179;84;297;10
03180;84;662;11
03181;84;296;3
03182;84;263;1
03183;84;469;4
03184;84;505;8
03185;84;34361;1070
03186;84;1524;21
03187;84;630;9
03188;84;219;1
03189;84;715;24
03190;84;19246;542
03191;84;280;8
03192;84;150;3
03193;84;187;4
03194;84;125;2
03195;84;2570;94
03196;84;221;3
03197;84;1453;32
03198;84;187;0
03200;84;1520;256
03201;84;304;13
03202;84;603;15
03203;84;387;9
03204;84;623;18
03205;84;440;11
03206;84;168;6
03207;84;512;13
03208;84;423;9
03209;84;151;3
03210;84;399;10
03211;84;2507;49
03212;84;1512;25
03213;84;252;4
03214;84;382;3
03215;84;550;8
03216;84;172;3
03217;84;761;35
03218;84;272;8
03219;84;215;5
03220;84;710;15
03221;84;730;8
03222;84;90;5
03223;84;441;14
03224;84;288;7
03225;84;444;10
03226;84;250;5
03227;84;373;8
03228;84;38;0
03229;84;612;18
03230;84;526;16
03231;84;188;5
03232;84;303;9
03233;84;395;8
03234;84;373;11
03235;84;969;10
03236;84;3654;70
03237;84;427;9
03238;84;529;9
03239;84;265;9
03240;84;543;11
03241;84;368;46
03242;84;568;14
03243;84;121;6
03244;84;128;2
03245;84;124;1
03246;84;594;12
03247;84;1106;33
03248;84;165;2
03249;84;162;2
03250;84;349;6
03251;84;376;9
03252;84;677;15
03253;84;379;10
03254;84;5221;118
03255;84;143;4
03256;84;214;5
03257;84;803;23
03258;84;1737;26
03259;84;338;3
03260;84;224;5
03261;84;178;7
03262;84;2092;38
03263;84;194;8
03264;84;2570;53
03265;84;671;78
03266;84;272;8
03267;84;664;24
03268;84;386;3
03269;84;85;2
03270;84;143;5
03271;84;805;32
03272;84;282;7
03273;84;492;15
03274;84;318;6
03275;84;1747;49
03276;84;102;6
03277;84;254;5
03278;84;191;4
03279;84;556;10
03280;84;182;9
03281;84;391;3
03282;84;372;13
03283;84;1065;18
03284;84;290;9
03285;84;178;8
03286;84;1138;20
03287;84;379;9
03288;84;384;8
03289;84;514;12
03290;84;1630;59
03291;84;415;13
03292;84;879;12
03293;84;283;10
03294;84;168;1
03295;84;76;0
03296;84;376;12
03297;84;1538;26
03298;84;3618;73
03299;84;229;8
03300;84;537;9
03301;84;1166;26
03302;84;39;1
03303;84;236;10
03304;84;2249;59
03305;84;593;15
03306;84;1918;52
03307;84;236;3
03308;84;152;4
03309;84;454;10
03310;84;24980;322
03311;84;305;7
