id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
5132;30253;Appartement;53,94;52;3
5133;30007;Appartement;53,2;54;2
5134;30037;Appartement;162,12;110;5
5135;30132;Appartement;93,83;92;3
5136;30007;Appartement;175,18;175;4
5137;30010;Appartement;33,84;32;2
5138;30010;Appartement;62,01;62;3
5139;30132;Appartement;71,83;38;1
5140;30007;Appartement;70,9;70;4
5141;31555;Appartement;18,38;19;1
5142;31555;Appartement;60,16;65;3
5143;31555;Appartement;68,06;85;3
5144;31555;Appartement;59,36;60;3
5145;31555;Appartement;45,58;46;2
5146;31116;Appartement;42,31;42;2
5147;31555;Appartement;41;41;2
5148;31555;Appartement;67,49;67;3
5149;31116;Appartement;43,01;45;2
5150;31555;Appartement;15,27;19;1
5151;31555;Appartement;63,23;63;3
5152;31555;Appartement;68,87;64;3
5153;31555;Appartement;41,93;44;2
5154;31186;Appartement;64,6;64;3
5155;31555;Appartement;69,69;69;2
5156;31044;Appartement;31,49;32;1
5157;31555;Appartement;50,57;50;2
5158;31555;Appartement;66,51;65;3
5159;31555;Appartement;42,56;42;2
5160;31555;Appartement;93,43;90;3
5161;31555;Appartement;24,01;24;1
5162;31555;Appartement;118,19;115;5
5163;31555;Appartement;41,92;42;1
5164;31555;Appartement;45,01;80;3
5165;31163;Appartement;71,4;70;3
5166;31555;Appartement;10,19;19;1
5167;31555;Appartement;56,01;57;3
5168;31555;Appartement;48;49;2
5169;31555;Appartement;47,03;49;3
5170;31555;Appartement;175,75;180;5
5171;31561;Appartement;41,86;42;2
5172;31555;Appartement;140,19;129;6
5173;31116;Maison;85,22;86;4
5174;31022;Appartement;48,11;48;2
5175;31182;Appartement;47,92;48;2
5176;31561;Appartement;70,26;70;3
5177;31555;Appartement;53,15;35;2
5178;31555;Appartement;39,95;44;1
5179;31555;Appartement;27,65;27;1
5180;31555;Appartement;38,85;37;2
5181;31555;Appartement;53,61;53;2
5182;31555;Appartement;35,56;37;2
5183;31555;Appartement;87,54;93;4
5184;31555;Appartement;67,32;59;3
5185;31555;Appartement;15,93;17;1
5186;31555;Appartement;121,72;100;4
5187;31555;Appartement;14,34;16;1
5188;31555;Appartement;21,47;24;1
5189;31555;Appartement;32,7;33;2
5190;31555;Appartement;56,49;55;3
5191;31555;Maison;83,98;86;4
5192;31555;Appartement;31,71;39;2
5193;31555;Appartement;37,33;37;2
5194;31555;Appartement;78,88;79;4
5195;31555;Appartement;30,1;29;1
5196;31555;Appartement;70,37;75;2
5197;31555;Appartement;44,1;44;2
5198;31555;Appartement;58,68;55;3
5199;31555;Appartement;21,68;24;1
5200;31555;Appartement;74,88;74;4
5201;31555;Appartement;51,75;52;3
5202;31555;Appartement;60,33;60;3
5203;31555;Appartement;66,84;66;2
5204;31555;Appartement;70,33;69;3
5205;31022;Appartement;48,38;46;2
5206;31555;Appartement;66,89;66;4
5207;31555;Appartement;32,45;33;2
5208;31555;Appartement;66,75;66;3
5209;31555;Appartement;13,91;14;1
5210;31555;Appartement;26;26;1
5211;31462;Appartement;42,31;42;2
5212;31555;Appartement;32,81;35;2
5213;31555;Appartement;63,77;63;3
5214;31555;Appartement;67,81;67;3
5215;31555;Appartement;63,94;64;3
5216;31555;Appartement;34,95;34;2
5217;31555;Appartement;29,03;28;1
5218;31555;Appartement;85,61;86;4
5219;31555;Appartement;21,14;23;1
5220;31555;Appartement;31,6;31;1
